缉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
守卫,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
展示,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
表态,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支持,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
证实,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
逼退,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
炸死,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
游行,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
转售,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
访,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
签订,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
落户,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
集会,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
阅兵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
违反,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
废弃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
访问,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
称赞,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
回应,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
放宽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
到访,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
否认,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加强合作,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达成,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁军,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
参加,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
